Restaurant Name,Cuisines,Address,City,Postcode,Phone Number,Reviews,Average Review
"Clamshell","Fish & Chips, Pizza","148 High Street","Edinburgh","EH1 1QS","01312254338","702","5"
"Tony Mac Delivers @Omni Centre","Italian, Pizza","Greenside Lane","Edinburgh","EH1 3AA","01313573331","334","4.5"
"NKD Pizza Morningside","Pizza, Italian","6-8 Morningside","Edinburgh","EH10 5LY","01313571653","241","5"
"Roti","Indian, Curry, Halal","42 South Bridge","Edinburgh","EH1 1LL","01315578820","49","4.5"
"Star kebab pizza house","Kebab, Pizza","16 Elm Row","Edinburgh","EH7 4AA","01316291617","3","5"
"El Toro Loco","Mexican, Burritos","60 Grassmarket","Edinburgh","EH1 2JR","01316291050","100","4.5"
"Bubba Q","American, BBQ","209 - 213 High Street","Edinburgh","EH1 1PE","01314785472","160","5.5"
"BRAW Burgers & Pizzas","Burgers, Desserts","113 Broughton Road","Edinburgh","EH7 4EQ","01315588908","4","3.5"
"Giuliano's","Pizza, Pasta","18-19 Union Place","Edinburgh","EH1 3NQ","01315566590","106","5"
"Cafe Piccante","Fish & Chips, Pizza","7 East Norton Place, London Road","Edinburgh","EH7 5DR","01316526221","2245","5.5"
"Roman Pizza Project","Italian, Pizza","10 West Maitland Street","Edinburgh","EH12 5DS","01312293687","0","0"
"Hot Kung Fu","Chinese, Oriental","6 Newington Road","Edinburgh","EH9 1QS","01316676688","2878","5"
"Hui","Chinese, Japanese","10 Roseburn Terrace","Edinburgh","EH12 6AW","07857281140","730","5.5"
"Hey Pizza","Pizza","62 Inverleith Row","Edinburgh","EH3 5PX","01315512689","1","3.5"
"KFC Craigleith","Chicken","Craigleith Retail Park, South Groathill Avenue","Edinburgh","EH4 2LN","02039126648","810","4"
"KFC Edinburgh South Charlotte Street","Chicken","3 South Charlotte Street","Edinburgh","EH2 4AN","02039126648","271","4"
"Burger King Princes Street","Burgers, American","89 Princes Street","Edinburgh","EH2 2ER","02039126648","255","3.5"
"Rice Bowl's","Chinese, Thai","177 Great Junction Street","Edinburgh","EH6 5LQ","01315532777","1029","5"
"Verona","Pizza, Chicken","12 Cadzow Place","Edinburgh","EH7 5SN","01316569000","1337","6"
"Bonnie Burrito Newington","Mexican","82 South Clerk Street","Edinburgh","EH8 9PT","02039126448","158","5"
"The Ephesus Mediterranean Takeaway","Kebab, Pizza","96 South Clerk Street","Midlothian","EH8 9PT","01316674956","648","5.5"
"BBurger","American, Burgers, Halal","86 Nicolson Street","Edinburgh","EH8 9EW","01316679115","307","5"
"Bella Italia Edinburgh North","Italian, Pizza","54-56 North Bridge","Edinburgh","EH1 1SB","02039126648","28","3.5"
"Noor Take Away","Pakistani, Indian, Halal","56 South Clerk Street","Edinburgh","EH8 9PS","01316670404","1254","5"
"Chicken Club","Chicken, Pizza, Halal","46 South Clerk Street","Edinburgh","EH8 9PS","01316290989","2571","5"
"Presko Dessert Parlour","Desserts, Burgers","342 Gorgie Road","Edinburgh","EH11 2QU","01312614948","484","5"
"Lee's Kitchen","Chinese, Oriental","14 Portland Place","Edinburgh","EH6 6LA","01315552328","1251","5"
"Palmyra Pizza","Pizza, Kebab, Halal","22 Nicholson Street","Edinburgh","EH8 9DH","01316676655","1738","4.5"
"Soul Sushi","Japanese, Sushi","126 Nicolson Street","Edinburgh","EH8 9EH","01316670200","1539","5.5"
