Restaurant Name,Cuisines,Address,City,Postcode,Phone Number,Reviews,Average Review
"Station Wok","Chinese, Oriental","34 Merkland Street","Glasgow","G11 6DB","01413399988","803","5.5"
"Adam's Diner","American, Burgers, Halal","423 Glasgow Road","Dumbarton","G81 1LW","01419529090","1448","5"
"Papa John's - Broomhill","Pizza, American","12 Norby Road","Glasgow","G11 7BN","read what this restaurant has to say about allergies","1034","4.5"
"Italian Job Express","Italian, Pasta","528 Crow Road","Glasgow","G13 1NU","01419548811","3022","5.5"
"Cravings Ice Cream and Dessert","Desserts, Ice Cream, Halal","411 Dumbarton Road","Glasgow","G11 6DD","07857207876","3","5"
"Knightswood Chinese","Chinese, Oriental","247 Alderman Road","Glasgow","G13 3AY","01419591818","1228","5"
"Freddies Food Club~","Indian, Italian","2139 Great Western Road","Glasgow","G13 2XX","01419591901","1653","4"
"The Hovel","Italian, Pizza","15 Ladyloan Place","Glasgow","G15 8LB","07892895547","15","5"
"Asian Tandoori","Indian, Curry, Halal","3A Duntreath Avenue","Glasgow","G13 4JG","01419506100","2654","5.5"
"Gennaro's Fish & Chips","Fish & Chips, Pizza","1556 Great Western Road","Glasgow","G13 1HJ","01419598339","1331","5.5"
"The Record Factory","Burgers, Vegan","17 Byres Road","Glasgow","G11 5RD","01413348888","3","4"
"New NG's Dynasty","Chinese, Oriental","60 Fulton Street","Glasgow","G13 1ED","01419593639","1216","5"
"Jutt's Food Xpress","Indian, Pizza","199 Knightswood Road","Glasgow","G13 2EX","01419542266","300","5"
"The Pedlar And Spice","Indian, Curry","157-159 North Street","Glasgow","G3 7DA","01412213926","64","5"
"Mario's (Glasgow) Limited","Fish & Chips, Pizza, Halal","253 Alderman Road","Glasgow","G13 3AY","01419594999","812","5"
"Saffron","Indian, Kebab","178 Archerhill Road","Knightswood","G13 3JG","01419595999","811","5.5"
"Rockabilly","Indian, American","1 Salkeld Street","Glasgow","G5 8HE","01412371670","10","5.5"
"Golden View","Chinese, Oriental","306 Dyke Road","Glasgow","G13 4QU","01419591682","864","5"
"I Chai","Chinese, Oriental","1015 Crow Road","Glasgow","G13 1JP","07515038888","105","4.5"
"Nurdy Burdy","Peri Peri, Grill, Halal","946 Argyle Street","Glasgow","G3 8YJ","0141 248 1741","0","0"
"Mei Dou","Chinese, Thai","187 Fulton Street","Glasgow","G13 1AN","01414340587","539","5"
"Spice Heaven","Indian, Kebab","1002 Crow Road","Glasgow","G13 1JN","01419599996","569","5"
"Chillies","Indian, Kebab","477 Blairdardie Road","Glasgow","G15 6JP","01419443863","1997","5.5"
"Burger King Glasgow","Burgers, American","Great Western Road, Allerdyce Court","Glasgow","G15 6SA","02039126648","405","5"
"KFC Glasgow Great Western Road","Chicken","Great Western Road","Glasgow","G15 6SA","02039126648","750","4.5"
"McMonagles Fish, Chips & Pizzeria","Fish & Chips, Pizza, Halal","1 Argyle Road Clydebark","Glasgow","G81 1QA","01419512444","3889","5"
"New Ruby","Chinese, Oriental","18 Pennan Place","Glasgow","G14 0EA","01419501999","26","5.5"
"Pauls Fast Foods","Italian, Pizza","12 Drumchapel Road","Glasgow","G15 6QE","01419444195","1724","4.5"
"Four Pound Shop","Chinese, Oriental","26 Alexander Street","Clydebank","G81 1RZ","01414633119","576","4.5"
"Hot & Spicy","Indian, Pizza, Halal","18 Alexander Street Clydebark","Glasgow","G81 1RZ","01419526555","497","5"
"New Kismet Tandoori","Indian, Pizza, Halal","311 Drumry Road East","Glasgow","G15 8PA","01419445620","1022","4.5"
"Spicy Mix","Indian, Pizza, Halal","10 Drumchapel Road","Glasgow","G15 6QE","01419444646","1249","5"
"Kung Fu Chinese Take Away","Chinese, Oriental","1995-1997 Dunbarton Road","Glasgow","G14 0HZ","01419506869","315","4.5"
"Sajjan","Indian, Pizza, Halal","2372 Dumberton Road","Glasgow","G14 0QL","01419511839","1655","5.5"
"Milanos Fish, Chips & Pizzeria","Fish & Chips, Pizza","21 Kelso Street","Glasgow","G14 0LB","01419512200","668","5"
"Magic Grill","Indian, Kebab, Halal","1341 Dumbarton Road","Glasgow","G14 9UZ","01419597480","99","5"
"Mr Tasty","Italian, Indian","20 Fleming Avenue","Clydebank","G81 1AJ","01419520141","923","5"
"KFC Clydebank","Chicken","59 Livingston Street","Clydebank","G81 2XA","02039126648","384","4"
"Stefanos Fastfood","Fish & Chips, British","Drumry Road East","Glasgow","G15 8PA","01419491500","136","4.5"
"Bay Leaf Bistro & Indian Takeaway","Indian, Pizza","3 Rannoch Drive","Bearsden","G61 2JW","01419420077","1720","5.5"
"Golden Buck","Chinese, Noodles","121 Cleveden Road","Glasgow","G12 0JU","01413341131","276","5"
"Ashoka Finnieston","Indian, Curry","1284 Argyle Street","Glasgow","G3 8AB","01413393371","2049","5"
"Ocean Pearl Chinese","Chinese, Thai","2019 Dumbarton Road","Glasgow","G14 0HY","01419548768","1192","5"
"Po' Boyz","American, Burgers","16 Norby Road","Glasgow","G11 7BN","01413347799","565","5"
"Grillicious Mediterranean","Italian, Pizza","643 Dumbarton Road","Glasgow","G11 6HZ","01413377077","2618","4.5"
"Killermont Polo Club","Indian, Curry","2022 Mary Hill Road","Glasgow","G20 0AB","01419465412","1113","5"
"Roma Fish & Chips","Fish & Chips, Pizza","469 Dumbarton Road","Dalmuir","G81 4DT","01415620028","964","5"
"Bollywood Spice","Indian, Pizza, Halal","477 Dumbarton Road","Glasgow","G11 6EJ","01413349888","683","5"
"Four Pound Shop","Chinese, Oriental","27 Kelso Street","Glasgow","G14 0LB","01419511361","33","4.5"
"Pickled Ginger","Japanese, Sushi","512 St Vincent Street","Glasgow","G3 8XZ","01413288941","3064","5"
"Woody's Chargrilled Kebab","Pizza, Kebab","1425 Maryhill Road","Glasgow","G20 9AA","01419462114","143","5.5"
"Subway Knightswood","Sandwiches, Lunch","748 Anniesland Road Knightswood Shopping Centre","Glasgow","G14 0YU","02039126648","62","5"
"Dario Pizzeria","Pizza, Pasta","114 Queen Margret Drive","Glasgow","G20 8NZ","01419453603","428","5"
"Wok In","Chinese, Oriental","1919 Dumbarton Rd","Glasgow","G14 0YS","01419543336","269","5.5"
"Giulio's Fish & Chips Stop","Fish & Chips, Pizza, Halal","1580 Dumbarton Road, Scotstoun","Glasgow","G14 9DB","01419545632","386","4.5"
"Ceqwa","Indian, Burgers, Halal","692 Dumbarton Rd, Thornwood","Glasgow","G11 6RB","01413340291","769","5"
"Master Chef","Indian, Kebab, Halal","643 Dumbarton Road","Glasgow","G11 6HZ","07405503979","132","4.5"
"Sumerians Fish & Chicken Bar","Kebab, Pizza","1255 Dumbarton Road","Lanarkshire","G14 9UU","01419599385","456","5"
"Mede Food Club","Turkish, Indian","296 Faifley Road","Clydebank","G81 5EY","01389879442","187","5"
"Temaki","Japanese, Sushi","113 Hope Street","Glasgow","G2 6LL","01412481869","1285","5"
"La Vita Spuntini","Italian, Pizza","199 Byres Road","Glasgow","G12 8TN","01413394222","1605","5"
"Jaipur Indian Takeaway","Indian, Curry, Halal","162 Dorchester Avenue","Glasgow","G12 0DZ","0141 339 2255","128","5"
"Feng Huang~","Chinese, Oriental","1830 Maryhill Road","Glasgow","G20 0HD","01419469222","81","5"
"CHELLOS","Indian, Kebab, Halal","1377 Dumbarton Road","Glasgow","G14 9XT","01419541184","771","4.5"
"Levant","Indian, Kebab","77 Kinfauns Drive","Glasgow","G15 7TG","07572481552","44","5.5"
"Little Canteen","Chinese, Oriental","1164 Argyle Street","Glasgow","G3 8TD","01413399355","854","5"
"Okome","Japanese, Sushi","161 Byres Road","Glasgow","G12 8TS","01413341818","592","5.5"
"Neelim Indian Restaurant","Indian, Curry, Halal","1590 Dumbarton Road","Glasgow","G14 9DB","01419596265","836","5.5"
"New Aladdin","Indian, Italian, Halal","1576 Dumbarton Road","Glasgow","G14 9DB","01419543154","78","5.5"
"Sesame","Chinese, Oriental","1030 Dumbarton Road","Glasgow","G14 9UL","01419580871","401","5"
"Curry Pot","Indian, Pizza","139 Dumbarton Road","Glasgow","G11 6PR","01413341549","1315","5"
"Shangri La","Chinese, Noodles","1b Apsley Street","Glasgow","G11 7SZ","01413396669","613","5"
"Chow","Chinese, Thai","98 Byres Road","Glasgow","G12 8TB","01413349818","223","4.5"
"Casablanca","Italian, Pizza","35 Clarence Driver","Glasgow","G12 9QN","01413399190","568","5"
"Thornwood Chippy","Fish & Chips, Pizza","688 Dumbarton Road","Glasgow","G11 6RB","01413706107","92","5"
"Well-Fed @ Whiteinch","Deli, Breakfast","The Whiteinch Centre 1 Northinch Court","Glasgow","G14 0UG","01419542006","458","5"
"Munchies","Kebab, Pizza, Halal","260 Faifley Road","Glasgow","G81 5EH","01389299463","216","4.5"
"Subway - Hyndland","Sandwiches, Subways","33 Clarence Drive","Glasgow","G12 9QN","02039126648","22","3"
"Sakura","Japanese, Sushi","1342 Maryhill Road","Glasgow","G20 9DG","01419469555","27","5.5"
"Cailins Sushi Bar & Takeaway","Japanese, Sushi","1136 Argyle Street","Glasgow","G3 8TD","01413348637","1602","5"
"American BBQ & Burger Company","American, Burgers","114 Queen Margret Drive","Glasgow","G20 8NZ","01419453603","387","4.5"
"Pizza Amore","Fish & Chips, Pizza","1499 Dumbarton road","Glasgow","G14 9XL","01419595280","190","5"
"Bombay Grill","Indian, Curry","19-21 Glasgow Road","Clydesbank","G81 5PJ","01389879803","495","5.5"
"Cake & Shake","Cakes, Milkshakes","21 Kelso Street","Glasgow","G14 0LB","01419512200","121","4"
"Punjabi Fusion","Indian, American","1010 Dumbarton Road","Glasgow","G14 9UJ","01419592467","1103","5.5"
"Homewok Takeaway","Chinese, Noodles","101 Byres Road","Glasgow","G11 5HW","01413348433","837","5"
"Balti Club","Indian, Curry, Halal","66 Woodlands Road","Glasgow","G3 6HA","01413325495","1203","4.5"
"Rinaldos","Indian, Italian","75-77 Kinfauns Drive","Glasgow","G15 7TG","01419447068","450","4.5"
"Wee Fatty's Ice Cream and Dessert","Ice Cream, Desserts","2481 Dumbarton Road","Glasgow","G14 0PR","07432727592","44","5"
"Peri Peri Bites","Peri Peri, Chicken, Halal","339 Dumbarton Road","Glasgow","G11 6AL","01413371059","17","4"
"Papa Gills","Indian, Kebab, Halal","2376 Dumbarton Rd","Lanarkshire","G14 0QL","01419514899","374","5"
