Restaurant Name,Cuisines,Address,City,Postcode,Phone Number,Reviews,Average Review
"Adam's Diner","American, Burgers, Halal","423 Glasgow Road","Dumbarton","G81 1LW","01419529090","1448","5"
"Papa John's - Broomhill","Pizza, American","12 Norby Road","Glasgow","G11 7BN","read what this restaurant has to say about allergies","1034","4.5"
"KFC Glasgow Great Western Road","Chicken","Great Western Road","Glasgow","G15 6SA","02039126648","749","4.5"
"Burger King Glasgow","Burgers, American","Great Western Road, Allerdyce Court","Glasgow","G15 6SA","02039126648","405","5"
"Greggs - Dumbarton Road","Breakfast, Sandwiches","392 Dumbarton Road, Partick","Glasgow","G11 6RZ","read what this restaurant has to say about allergies","103","4.5"
"Subway Knightswood","Sandwiches, Lunch","748 Anniesland Road Knightswood Shopping Centre","Glasgow","G14 0YU","02039126648","62","5"
"Gennaro's Fish & Chips","Fish & Chips, Pizza","1556 Great Western Road","Glasgow","G13 1HJ","01419598339","1331","5.5"
"Subway - Hyndland","Sandwiches, Subways","33 Clarence Drive","Glasgow","G12 9QN","02039126648","22","3"
"Mario's (Glasgow) Limited","Fish & Chips, Pizza, Halal","253 Alderman Road","Glasgow","G13 3AY","01419594999","812","5"
"McMonagles Fish, Chips & Pizzeria","Fish & Chips, Pizza, Halal","1 Argyle Road Clydebark","Glasgow","G81 1QA","01419512444","3889","5"
"The Record Factory","Burgers, Vegan","17 Byres Road","Glasgow","G11 5RD","01413348888","3","4"
"Papa Joes","Breakfast, Lunch","127 Dalsetter Avenue","Glasgow","G15 8TE","01412376470","366","4.5"
"Magic Grill","Indian, Kebab, Halal","1341 Dumbarton Road","Glasgow","G14 9UZ","01419597480","99","5"
"Nurdy Burdy","Peri Peri, Grill, Halal","946 Argyle Street","Glasgow","G3 8YJ","0141 248 1741","0","0"
"KFC Clydebank","Chicken","59 Livingston Street","Clydebank","G81 2XA","02039126648","384","4"
"Bay Leaf Bistro & Indian Takeaway","Indian, Pizza","3 Rannoch Drive","Bearsden","G61 2JW","01419420077","1720","5.5"
"The Hovel","Italian, Pizza","15 Ladyloan Place","Glasgow","G15 8LB","07892895547","14","5"
"Po' Boyz","American, Burgers","16 Norby Road","Glasgow","G11 7BN","01413347799","565","5"
"Killermont Polo Club","Indian, Curry","2022 Mary Hill Road","Glasgow","G20 0AB","01419465412","1113","5"
"Pickled Ginger","Japanese, Sushi","512 St Vincent Street","Glasgow","G3 8XZ","01413288941","3064","5"
"Dario Pizzeria","Pizza, Pasta","114 Queen Margret Drive","Glasgow","G20 8NZ","01419453603","428","5"
"Sumerians Fish & Chicken Bar","Kebab, Pizza","1255 Dumbarton Road","Lanarkshire","G14 9UU","01419599385","456","5"
"Temaki","Japanese, Sushi","113 Hope Street","Glasgow","G2 6LL","01412481869","1285","5"
"La Vita Spuntini","Italian, Pizza","199 Byres Road","Glasgow","G12 8TN","01413394222","1605","5"
"CHELLOS","Indian, Kebab, Halal","1377 Dumbarton Road","Glasgow","G14 9XT","01419541184","771","4.5"
"Little Canteen","Chinese, Oriental","1164 Argyle Street","Glasgow","G3 8TD","01413399355","854","5"
"Okome","Japanese, Sushi","161 Byres Road","Glasgow","G12 8TS","01413341818","592","5.5"
"Casablanca","Italian, Pizza","35 Clarence Driver","Glasgow","G12 9QN","01413399190","568","5"
"Thornwood Chippy","Fish & Chips, Pizza","688 Dumbarton Road","Glasgow","G11 6RB","01413706107","92","5"
"Well-Fed @ Whiteinch","Deli, Breakfast","The Whiteinch Centre 1 Northinch Court","Glasgow","G14 0UG","01419542006","458","5"
"The Hyndland Cafe","Café, Breakfast","96 Clarence Drive","Glasgow","G12 9RN","01413342719","305","5.5"
"Sakura","Japanese, Sushi","1342 Maryhill Road","Glasgow","G20 9DG","01419469555","27","5.5"
"American BBQ & Burger Company","American, Burgers","114 Queen Margret Drive","Glasgow","G20 8NZ","01419453603","387","4.5"
"Pizza Amore","Fish & Chips, Pizza","1499 Dumbarton road","Glasgow","G14 9XL","01419595280","190","5"
"Cafe 81","Café, British","2-16 Braes Avenue","Clydebank","G81 1DP","07706460586","28","5"
"Ashoka Ashton Lane","Indian, Curry","19 Ashton Lane","Glasgow","G12 8SJ","01413371115","95","5"
"Spice Chilli Indian Restaurant & Takeaway","Indian, Curry, Halal","Unit 8, Baljaffray shopping centre, Bearsden","Glasgow","G61 4RN","01419424445","347","5.5"
"Home Style Authentic Indian Cuisine","Curry, Indian, Halal","470 Paisley Road","Glasgow","G5 8RE","01414292234","2593","5.5"
"Mario’s Plaice","Fish & Chips, Italian","285 Byres Road","Glasgow","G12 8TL","01413346561","52","5.5"
"Barbeque King","Italian, Indian","488 Great Western Road","Glasgow","G12 8EW","01413571020","815","4"
"Wrapchic - Glasgow","Indian, Halal","210 Castlebank Street","Glasgow","G11 6DN","01413372529","35","5.5"
"Bagel Mania","Bagels","195 Byres Road","Glasgow","G12 8TN","01413399704","11","5.5"
