Restaurant Name,Cuisines,Address,City,Postcode,Phone Number,Reviews,Average Review
Grill Guru,"Grill, Peri Peri, Halal",48 Oswald Street,Glasgow,G1 4PL,1412218777,1202,4
Mamafubu,"Chinese, Oriental",61 Glassford Street,Glasgow,G1 1UG,1415529798,363,5
Pizza Hut Delivery - George St,"Pizza, American",102 George Street,Glasgow,G1 1RF,1412588000,59,4.5
The Grillicious,"Indian, Kebab, Halal",370 Cumbernauld Road,Glasgow,G31 3NN,1415500888,718,5
Papa John's - Duke Street,"Pizza, American",273 Dukes Street,Glasgow,G31 1HX,1415510022,1517,4.5
KFC Glasgow Renfield Street,"Chicken, American, Halal",104-106 Renfield St,Glasgow,G2 1NH,2038269530,1256,3.5
Pasha,"Kebab, Lebanese, Halal",48 North Frederick Street,Glasgow,G1 2BS,2039126648,165,5
Romans Pizzeria & Bar,"Pizza, Vegan",26 Candleriggs,Glasgow,G1 1LD,2038269530,199,5.5
Pepe's Piri Piri - Sauchie Hall Street,"Peri Peri, Chicken, Halal",283 Sauchiehall Street,Glasgow,G2 3HQ,1413327185,164,4
Manjaros,"Chicken, Peri Peri, Halal","UNIT 2, Springfield Quay",Glasgow,G5 8NP,7852769462,225,4.5
Tuk Tuk Indian Street Food,"Indian, South Indian",426 Sauchiehall Street,Glasgow,G2 3JD,2039126648,166,5
The Chicken Place,"Chicken, American, Halal","23 Gallowgate, Merchant City",Glasgow,G1 5AA,1415522511,2087,4
Asda Kitchen - Toryglen,"Pizza, Desserts",555 Prospecthill Road,Glasgow,G42 0AE,2039126648,21,4.5
Damasqino Restaurant,"Grill, Lebanese, Halal",94 Saltmarket,Glasgow,G1 5LD,7463608686,134,4.5
L'Aquila City Centre,"Fish & Chips, Pizza",44 Dundas Street,Glasgow,G1 2AQ,1412580397,1024,5.5
Treatz - Glasgow,"Desserts, Ice Cream",492 Sauchiehall Street,Glasgow,G2 3LW,1412375292,16,4
Mexita Express,"Mexican, Pizza, Halal",212 Gallowgate,Calton,G1 5DS,1415522140,754,5
Bi Bim Bap,"Korean, Asian",3 West Nile Street,Glasgow,G1 2PR,1412216111,331,5
Rockabilly,"Indian, American",1 Salkeld Street,Glasgow,G5 8HE,1412371670,10,5.5
Amore Ristorante,"Italian, Pizza",30 Ingram Street,Glasgow,G1 1EZ,1415530810,112,5
House Donner,"Kebab, Pizza",48 - 50 Oswald Street,Glasgow,G1 4PL,1412218777,230,3
The Pedlar And Spice,"Indian, Curry",157-159 North Street,Glasgow,G3 7DA,1412213926,64,5
Chopstix Noodle Bar - Glasgow,"Noodles, Asian",102 Union Street,Glasgow,G1 3QW,2038269530,92,5
Steak Cattle & Roll,"Burgers, Vegan",17 Bell Street,Glasgow,G1 1NU,1412586500,127,5.5
The Record Factory,"Burgers, Vegan",17 Byres Road,Glasgow,G11 5RD,1413348888,3,4
The Calabash African Restaurant,"African, West African, Halal",57 Union Street,Glasgow,G1 3RB,1412212711,239,4.5
Cafe India,"European, Indian",29 Albion Street,Glasgow,G1 1LH,1415525115,148,5
Charcoals,Indian,26A Renfield Street,Glasgow,G2 1LU,1412219251,0,0
Charcoals Cafe,"Indian, Curry",74 Trongate,Glasgow,G1 5EP,1412586482,726,5.5
KFC Glasgow Pollokshaws,"Chicken, Halal","35 Cuthbertson St, Glasgow G42 7RJ",Glasgow,G42 7RJ,2039126648,1105,4.5
Nurdy Burdy,"Peri Peri, Grill, Halal",946 Argyle Street,Glasgow,G3 8YJ,0141 248 1741,0,0
Chilli Thrill,"Indian, Pizza, Halal",35 High Street,Glasgow,G1 1LX,1415521655,218,4
Tandoori Plus,"Indian, Italian, Halal",21 Kennedy Path,Glasgow,G4 0PP,1415525758,2334,5
