Restaurant Name,Cuisines,Address,City,Postcode,Phone Number,Reviews,Average Review
"Masterchef","Indian, Italian, Halal","23 Broomland Street","Paisley","PA1 2LT","01418877577","1644","5"
"Fazil King","Indian, Pizza, Halal","40 High Street","Paisley","PA1 2DQ","01418481414","630","5"
"Papa Grill","Indian, Curry","81 Causeyside Street","Paisley","PA1 1YU","07397562112","312","4.5"
"Aladdins Tandoori Takeaway","Curry, Pizza, Halal","5 Johnstone Street","Paisley","PA1 1XQ","01418402525","1588","5"
"Burger & Keg","Burgers, American","15b Gilmour Street","Paisley","PA1 1DD","01418875967","379","5"
"Marco's","Fish & Chips, Indian, Halal","42 Foxbar Road","Paisley","PA2 0AY","01505815555","641","5.5"
"Sherwood Gleniffer","Fish & Chips, Pizza","180 Braehead Road","Paisley","PA2 8QD","07473208393","5","5.5"
"Napolitano's","Pizza, Fish & Chips","1 Espedair Street","Paisley","PA2 6NT","01418891707","2194","5"
"Red Hot","Indian, Pizza, Halal","109 Rowan Street","Paisley","PA2 6RY","01418897499","1131","5"
"Taste Of Asia","Indian, Pizza","124 Blackstoun Road","Paisley","PA3 1EX","07577699075","22","5"
"Bombay Cuisine","Indian, Fish & Chips","32 Glenburn Road","Paisley","PA2 8JG","01418842748","440","5.5"
"Ubay's Tandoori","Indian, Kebab","53 High Street","Paisley","PA1 2AN","01418890111","604","5.5"
"Pathans","Indian, Kebab","62 Glasgow Road","Paisley","PA1 3PW","07446902498","1","5.5"
"Madras","Indian, Curry, Halal","22 Old Sneddon Street","Paisley","PA3 2AL","01418874455","826","5.5"
"Charleston Cafe","Fish & Chips, Pizza","71 Neilston Road","Paisley","PA2 6NA","01418872622","288","4.5"
"The Jewels Of Asia","Indian, Curry, Halal","34 Glasgow Road","Barrhead","G78 1BU","01418818125","1256","5"
"Andy's Golden Fry Paisley","Pizza, Fish & Chips","46 Causeyside Street","Paisley","PA1 1YH","07799525591","270","5.5"
"Kebab City","Indian, Pizza, Halal","60 Causeyside Street","Paisley","PA1 1YW","01418877900","1458","5"
"New Wynn","Chinese, Thai","94 Causeyside Street","Paisley","PA1 1TX","0141 848 5659","1395","5"
"East End Tandoori","Indian, Kebab","3/5 Ladyburn Street","Paisley","PA1 1PH","01418899333","1939","5"
"Fortune House","Chinese, Oriental","1 Howe Street, Renfrewshire","Paisley","PA1 2TQ","01418890881","897","5"
"Wok N Go","Chinese, Noodles","4 New Street","Paisley","PA1 1XY","01418401886","1237","4.5"
"Dessert Rush","Desserts, Waffles","3 Well Street","Paisley","PA1 2SS","01412373569","1032","5.5"
"Roma to Go","Pizza, Italian","Unit 3, Bridge Street","Linwood","PA3 3DB","01505323337","618","5"
"Canton Garden","Chinese, Oriental","16d Broomlands Street","Paisley","PA1 2LU","01418890747","385","5"
"Charghas Fast Food","Indian, Pizza, Halal","26 Main Street","Barrhead","G78 1RE","01418805161","223","5"
"Pineapple Chinese","Chinese, Oriental","38 Causeyside Street","Paisley","PA1 1YH","01413283741","575","4.5"
"Cathay Cuisine","Chinese, Thai","16C Broomlands Street","Paisley","PA1 2LU","01418892194","45","4.5"
"Tandoori Express","Indian, Pizza","8 Old Sneddon Street","Paisley","PA3 2AL","01418876656","810","5"
"De Marco's","Fish & Chips, Pizza","48c Glasgow Road","Paisley","PA1 3PW","01418870878","440","4.5"
"Salt 'N' Chilli","Indian, Pizza","72 Nether Hill Road","Paisley","PA3 4RL","01418874444","860","5"
"Raja","Indian, Curry","57 Old Sneddon Street","Paisley","PA3 2AN","01418893123","105","5"
"Hippy Chippy","Fish & Chips, Pizza","7 Broomlands Street","Paisley, Renfrewshire","PA1 2LS","01418899681","477","5"
"Crookston Cafe and Desserts","Café, Desserts","1371 Barrhead Road","Glasgow","G53 7DA","01412307566","392","4.5"
"Linwood Tandoori","Indian, Pizza, Halal","32A Greenfarm Road","Linwood","PA3 3HQ","01505320137","1072","5"
"The Phat Bhuna Indian Restaurant & Takeaway","Indian, Curry, Halal","13 Canal Street","Paisley","PA1 2HD","01418893762","104","5.5"
"Mirch Masala Curry House","Indian, Pizza","28 - 30 Wellmeadow Street","Paisley","PA1 2EA","01418404000","611","5.5"
"Hot & Spicy Grill","Indian, Pizza, Halal","6 Carlibar Road","Glasgow","G78 1AA","01418808025","232","5"
"Alpino's Fish & Chips","Fish & Chips, Pizza","63 Cross Arthurlie Street","Barrhead","G78 1RR","07577055762","33","4.5"
"Spicy Joes","Indian, Pizza, Halal","4 New Inchinan Road","Paisley","PA3 2PP","01418899998","753","5.5"
"Babylon Fast Food","Pizza, Kebab","141 Main Road","Renfrewshire","PA5 9ES","01505323396","1824","4"
"The Pizza Stop","Pizza, Fish & Chips","6 Broomlands Street","Renfrews","PA1 2LR","01418897004","326","4.5"
"Sizzler Curry","Indian, Pizza, Halal","25 Maxwellton Street","Paisley","PA1 2UF","01418876868","770","5"
"China Town","Chinese, Oriental","Unit 2 Mossedge Industrial Estate,Moss Road","Renfrewshire","PA3 3HR","01505321387","675","4.5"
"Red Fort","Indian, Curry","46 Cross Arthurlie Street","Glasgow","G78 1QU","01418805499","318","5"
"Pizza Crolla","Fish & Chips, Italian Pizza","60 High Street","Johnstone","PA5 8SG","07792033753","61","5"
"The Koh-I-Noor","Indian, Curry","40 New Sneddon Street","Paisley","PA3 2AZ","01418897909","642","5"
"Chunni Chicken","Chicken, Burgers","34 High Street","Johnstone, Renfrewshire","PA5 8AH","01505320874","443","4"
"Saffron","Indian, Curry","232a Main Street","Barrhead","G78 1SN","01418813870","240","5"
"Obsession Of India Paisley","Indian, Curry","32 Moss Street","Paisley","PA1 1BA","01418873032","154","5.5"
"A. Mano Pizzeria","Pizza, Italian","22 Saint James' Street","Paisley","PA3 2JR","01412374140","129","5.5"
"Scoops","Ice Cream, Desserts","82 Glasgow Road","Paisley","PA1 3PN","01415601514","538","3.5"
"Japan Street Food","Japanese, Sushi","11 Renfrew Road","Paisley","PA3 4AF","07400078278","340","5.5"
"Marmaris Charcoal Grill House","Pizza, Kebab","53C High Street","Paisley","PA1 2AN","01412613783","61","5"
"Happy Valley Takeaway","Chinese, Oriental","49 Brediland Road","Paisley","PA2 9HW","01505815336","24","5"
"Rana's Mirage Indian Cuisine","Indian, Halal","59 Broomland Street","Paisley","PA1 2NH","01418894477","390","5"
"Sherwood Fish & Chips","Fish & Chips","62 Glasgow Road","Paisley","PA1 3PW","01415601514","1132","4"
"Papa John's - Paisley","Pizza, American","58 Glasgow Road","Paisley","PA1 3PW","01418870077","511","4.5"
"Pizza Hut Delivery - Paisley","Pizza, American","6 Glasgow Road","Paisley","PA1 3QA","01418485000","69","4.5"
"Little India","Indian, Curry, Halal","11 Erskine Square","Glasgow","G52 4BJ","0141 387 6235","90","5"
"La Rotunda Italian","Italian, Pizza","Ground Floor, 28 Tunnel Street","Glasgow","G3 8HL","01418470880","1063","4.5"
"Riccardos","Pizza, Italian","512 St Vincent Street","Glasgow","G3 8XZ","01418470880","260","3.5"
"Burger Shack","American, Burgers","1116 Argle Street","Glasgow","G3 8TD","01412215881","659","4"
"Rotunda Diner","American, Burgers","2nd Floor, 28 Tunnel Street","Glasgow","G3 8HL","01412215881","781","4"
"Athena","Greek, Mediterranean, Halal","141 Elderslie Street","Glasgow","G3 7AW","01412043144","1296","5"
"Amber Cuisine","Chinese, Oriental","143 Main Road","Elderslie","PA5 9ES","01505328889","1274","5"
"Subway - 190 Main Street","Sandwiches, Lunch","190 Main Street","Barrhead","G78 1SL","02039126648","1","4.5"
"Food","American, Breakfast","21 Maxwellton Street","Paisley","PA1 2UF","01418878872","2097","4"
"La Banca","Italian, Pizza","63 Neilston Road","Paisley","PA2 6NA","01418871100","21","5"
"Royal Taj","Indian, Curry","30 Broomlands Street","Paisley","PA1 2NR","01418878740","174","5.5"
"Sweets 'N' Treats","Café, Breakfast","51 Hairst Street","Renfrew","PA4 8QU","01418865672","321","4.5"
"YO! Sushi - Glasgow Silverburn","Sushi, Japanese","Silverburn Shopping Centre, Barrhead Road","Glasgow","G53 6QR","0141 555 0042","85","5"
"Rioja","Spanish, Tapas","1116 Argyle Street","Finnieston","G3 8TD","01413340761","222","4"
"Dario Pizzeria","Pizza, Pasta","73 Neilston Road","Paisley","PA2 6NA","01418895400","887","5.5"
"Barscube Deli","Breakfast, Lunch","14 Barscube Terrace","Paisley","PA2 6XA","01418486633","163","5"
"American BBQ & Burger","American, Burgers","73 Neilston Road","Paisley","PA2 6NA","01418895400","646","5"
"Mario's Fish & Chips and Pizzeria","Fish & Chips, Pizza","23 Caledonia Street","Paisley","PA3 2JG","01418877123","616","5"
"Paisley Rotisserie","Burgers, Pizza","46 High Street","Paisley","PA1 2AH","01493858885","21","4.5"
"The Chippy","Fish & Chips, Desserts","Unit 3, 111 Ferguslie","Paisley","PA1 2UZ","01418486940","0","0"
"Top Wok","Chinese, Oriental","2 Johnston Street","Paisley","PA1 1XG","01418486868","436","5"
"Cafe West","Breakfast, Lunch","32 Broomlands Street","Paisley","PA1 2NR","07943222235","71","3"
"Natural Spice","Indian, Curry, Halal","9 Well Street","Paisley","PA1 2SS","01418421515","376","5"
"Let's Eat","Indian, Kebab, Halal","3 Broomlands Street","Paisley","PA1 2LS","01418897000","455","5"
"Royale Take Out","Indian, Italian, Halal","11 Well Street","Paisley","PA1 2SS","07411151416","38","5"
"Pickled Ginger","Japanese, Sushi","512 St Vincent Street","Glasgow","G3 8XZ","01413288941","3062","5"
"Munchies","Café, Breakfast","36 Wellmeadow Street","Paisley","PA1 2EG","01412616324","41","3.5"
"Chilli King","Indian, Kebab","62 Glasgow Road","Paisley","PA1 3PW","01418402323","58","5.5"
